,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
11001002301,1196,3220,1451,1769,2644,2642,391,39.1,33.7,931,23.7,574,19.1,464,23.5,569,10.5,4.3,85.2,33.7,30.9,0.0,0.0,1094,0,0,1,0,0,18,0,0,1,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0
11001002302,1105,1711,906,805,1619,1619,589,43.5,20.1,325,18.0,254,21.0,296,33.6,474,23.9,3.3,72.8,28.6,34.6,0.0,0.0,816,2,0,1,0,11,270,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
11001002400,1477,4257,2153,2104,3650,3481,415,36.1,27.2,1026,22.3,700,23.7,745,21.3,671,7.8,10.2,82.0,44.8,30.4,30.4,0.0,1352,0,7,16,0,0,54,4,6,14,0,0,3,2,3,0,0,1,9,7,1,2,0,0,0,1,0,7,8,4,9,0,0,6,0,8,0
11001002501,1066,2648,1300,1348,2158,2069,374,39.2,27.7,616,19.1,383,17.0,341,23.1,465,23.0,4.1,72.9,34.1,34.6,34.6,0.0,1040,0,0,6,0,1,57,11,0,10,0,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,18,1,1,1,0,0,0,3,0,0
11001002502,2540,5852,3039,2813,4673,4577,381,34.3,27.1,1287,17.5,762,15.0,651,26.0,1128,14.7,6.0,79.4,45.8,33.7,0.0,0.0,2325,1,0,9,2,1,89,7,2,9,0,0,2,1,5,0,0,1,13,2,1,0,0,0,3,0,1,9,1,3,1,0,0,0,3,2,0
11001002600,1046,2573,1231,1342,2156,2059,489,46.1,48.0,1071,9.8,195,28.2,560,52.3,1037,5.1,1.9,93.0,27.0,33.0,33.0,0.0,1009,0,1,1,1,0,28,3,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,1,0,0,0,1,0,0,0
11001002701,2879,5428,2925,2503,4448,4330,531,32.6,31.8,1424,12.0,502,29.6,1238,39.1,1634,16.3,9.7,74.0,45.6,32.9,0.0,0.0,2668,0,0,0,0,0,60,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0
11001002702,2445,6300,3047,3253,5413,5224,364,32.7,31.9,1752,7.9,378,24.1,1154,39.7,1902,7.8,8.8,83.3,49.1,31.7,0.0,52490.0,2319,3,0,9,1,2,22,4,1,2,0,0,1,3,5,0,0,2,16,6,2,0,0,0,2,0,1,1,3,0,4,0,0,2,3,2,0
11001002801,1869,4033,2124,1909,3169,3119,354,30.8,21.8,712,16.1,448,17.1,477,21.2,592,21.0,8.1,70.9,53.5,31.9,0.0,0.0,1723,0,0,1,0,0,42,1,4,5,0,0,0,2,1,0,0,0,7,7,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
11001002802,2130,4750,2391,2359,3858,3772,406,30.8,20.2,811,12.6,439,22.3,776,20.8,723,19.6,15.7,64.7,61.9,31.5,31.5,0.0,2041,4,2,1,0,3,39,11,2,13,0,0,1,2,3,0,0,0,9,2,2,0,0,1,4,0,1,12,11,5,1,0,0,3,0,2,0
11001002900,1712,4567,2335,2232,3884,3803,206,30.9,22.2,874,10.2,347,28.9,983,34.3,1170,7.5,3.0,89.5,55.2,32.8,32.8,47306.0,1582,2,0,3,2,0,24,0,3,5,0,0,2,0,2,0,0,0,11,9,3,0,0,0,1,1,1,1,2,0,6,0,0,0,4,40,0
11001003000,1563,3534,1593,1941,2814,2710,228,28.9,24.9,725,10.9,263,33.5,809,34.3,829,26.2,7.9,65.9,51.6,32.5,0.0,0.0,1446,4,0,6,0,1,31,3,1,1,0,0,0,3,4,0,0,1,5,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0
11001003100,1312,3350,1613,1737,2778,2682,252,33.4,28.3,789,11.1,272,27.8,683,20.5,505,10.6,22.4,67.0,48.4,34.1,34.1,0.0,1160,2,1,7,0,4,43,1,2,2,0,0,2,3,2,0,0,3,11,7,0,2,0,1,1,0,0,9,5,0,3,0,0,1,3,8,0
11001003200,1906,4997,2278,2719,4198,4086,550,33.5,28.2,1223,15.1,536,18.0,640,18.1,643,16.3,12.1,71.6,50.4,30.4,0.0,0.0,1665,0,0,2,1,2,46,4,2,6,0,0,3,2,3,0,0,1,10,16,0,1,1,1,0,0,0,4,0,0,9,0,0,0,1,8,0
11001003301,1614,3619,1930,1689,3291,3258,255,31.2,21.2,709,14.0,408,40.8,1188,36.1,1051,7.6,1.4,91.0,30.0,28.3,0.0,62359.0,1506,0,5,1,0,0,6,0,1,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
11001003302,1009,2338,1056,1282,2012,1962,153,32.5,29.5,597,11.8,204,34.4,593,37.5,646,12.1,5.5,82.4,33.1,29.2,29.2,71500.0,926,0,0,5,0,0,2,0,1,5,0,0,1,2,1,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0
