Location,Lat,Lon,p,e
"King's Park	Hackney	London",51.561609,-0.095465,4300,38930
"Leabridge	Hackney	London",51.558348,-0.055353,5470,42650
"Lordship	Hackney	London",51.563081,-0.082569,4610,48700
"New River	Hackney	London",51.573919,-0.085087,4630,43230
"Queensbridge	Hackney	London",51.539901,-0.070183,5870,44620
"Springfield	Hackney	London",51.568409,-0.058458,4390,40810
"Stoke Newington Central	Hackney	London",51.515454,-0.069953,5320,51920
"Victoria	Hackney	London",51.534606,-0.057603,5730,45410
"Wick	Hackney	London",51.545185,-0.036978,5070,40010
"Addison	Hammersmith and Fulham	London",51.50069,-0.217818,5880,63150
"Askew	Hammersmith and Fulham	London",51.503028,-0.243179,6270,54390
"Avonmore and Brook Green	Hammersmith and Fulham	London",51.495597,-0.218836,5980,62140
"College Park and Old Oak	Hammersmith and Fulham	London",51.477343,-0.201682,3700,43410
"Fulham Broadway	Hammersmith and Fulham	London",51.480148,-0.19633,5140,60160
"Fulham Reach	Hammersmith and Fulham	London",51.47351,-0.181771,4650,59970
"Hammersmith Broadway	Hammersmith and Fulham	London",51.493042,-0.224498,5400,56010
"Munster	Hammersmith and Fulham	London",51.476953,-0.209697,4960,73820
"North End	Hammersmith and Fulham	London",51.487971,-0.203894,5550,56020
"Palace Riverside	Hammersmith and Fulham	London",51.486442,-0.224855,3400,79350
"Parsons Green and Walham	Hammersmith and Fulham	London",51.473574,-0.199356,4790,83750
"Ravenscourt Park	Hammersmith and Fulham	London",51.49528,-0.239834,4750,65710
"Sands End	Hammersmith and Fulham	London",51.472455,-0.1839,6600,63490
"Shepherd's Bush Green	Hammersmith and Fulham	London",51.503754,-0.221045,5660,51330
"Town	Hammersmith and Fulham	London",51.491747,-0.234017,5000,69820
"Wormholt and White City	Hammersmith and Fulham	London",51.508915,-0.240859,5050,44740
"Alexandra	Haringey	London",51.591773,-0.108426,4500,69550
"Bounds Green	Haringey	London",51.60704,-0.12421,5820,44700
"Bruce Grove	Haringey	London",51.596434,-0.072661,5830,39330
"Crouch End	Haringey	London",51.579747,-0.123677,5810,70560
"Fortis Green	Haringey	London",51.590825,-0.154941,5120,67140
"Harringay	Haringey	London",51.582426,-0.09966,5600,48190
"Highgate	Haringey	London",51.571188,-0.149069,5200,73250
"Hornsey	Haringey	London",51.587045,-0.121888,5600,52520
"Muswell Hill	Haringey	London",51.590219,-0.139372,4380,73580
"Noel Park	Haringey	London",51.595173,-0.10157,5480,39680
"Northumberland Park	Haringey	London",51.605449,-0.059979,5870,33120
"St. Ann's	Haringey	London",51.581113,-0.086291,5570,41990
"Seven Sisters	Haringey	London",51.583417,-0.072434,5780,43330
"Stroud Green	Haringey	London",51.574117,-0.110329,5280,59130
"Tottenham Green	Haringey	London",51.587466,-0.071535,6270,37600
"Tottenham Hale	Haringey	London",51.592578,-0.061062,6090,35720
"West Green	Haringey	London",51.586254,-0.086763,5240,40290
